YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2023,2,0,"59,995",Cargurus
2023,2,12,"51,995",Cargurus
2023,2,10,"49,823",Cargurus
2023,2,18,"48,993",Cargurus
2023,2,11,"54,988",Cargurus
2023,2,8759,"47,973",Autotrader
2019,6,53660,"35,158",Autotrader
2023,2,3346,"51,888",Autotrader
2019,6,54645,"37,388",Autotrader
2023,2,8,"54,995",Autotrader
2023,2,5,"54,995",Autotrader
2023,2,794,"54,995",Autotrader
2021,4,25314,"40,991",Autotrader
2022,3,5800,"65,000",Craigslist
2017,8,73328,"31,999",Craigslist
2019,6,76476,"33,999",Craigslist
